Name,Conference,SOS,Comp Percent,Y/A,Att/TD,Att/INT,WR DR,Starter,Draft Position,Age,Height,Weight,Class,Adj.CarAV,Proj AV,Adj,Surplus
Tom Brady,Big10,7.86,0.966386555,0.357798165,0.580889309,0.873667377,0.527,2,199,22,76,225,Success,14.75,0.353308,0.353308,14.396692
Russell Wilson,Big10,1.881,2.083333333,2.858490566,1.472123369,2.129127358,0.519,4,75,23,71,204,Success,17.5,4.113112,4.113112,13.386888
Aaron Rodgers,PAC,3.023,1.557142857,1.063829787,1.170238095,0.099447514,0.564,2,24,21,74,223,Success,16.5,5.659483,5.659483,10.840517
Cam Newton,SEC,3.588,1.131889764,2.788461538,1.467703349,0.238931834,0.547,1,1,21,77,248,Success,16.6,6.356866,6.356866,10.243134
Peyton Manning,SEC,10.56,0.933333333,0.70754717,0.800134138,0.782539683,0.645,3,1,21,77,230,Success,15.94,6.356866,6.356866,9.583134
Philip Rivers,ACC,2.528,2.36525974,1.818965517,0.818807339,2.215946844,0.585,4,4,22,77,229,Success,15.1,6.265903,6.265903,8.834097
Drew Brees,Big10,2.93,1.144654088,0.084210526,0.428459119,0.799833887,0.737,3,32,21,72,209,Success,13.94,5.416915,5.416915,8.523085
Matt Ryan,ACC,3.48,-0.038167939,-0.113636364,0.205479452,-0.151612903,0.288,2,3,22,76,217,Success,14.25,6.296224,6.296224,7.953776
Aaron Brooks,ACC,2.63,-0.133555927,0.58974359,0.150652985,-0.155395683,0.428,2,131,22,76,220,Success,10.29,2.415136,2.415136,7.874864
Dan Marino,IND,6.97,0.835871404,-0.424242424,0.359927798,-0.770508827,0.224,4,27,21,76,228,Success,12.71,5.56852,5.56852,7.14148
Joe Montana,IND,11.47,0.623595506,0.81,0.22249539,1.117866005,0.84,2,82,22,74,205,Success,10.93,3.900865,3.900865,7.029135
Andy Dalton,MWC,-0.062,1.131889764,1.634615385,1.184210526,1.129304287,0.538,4,35,23,74,215,Success,12.2,5.325952,5.325952,6.874048
Marc Bulger,BigEast,1.65,0.915966387,0.082568807,0.269631031,-0.767590618,0.532,3,168,22,75,208,Success,8,1.293259,1.293259,6.706741
John Elway,PAC,10.17,1.884940778,1.191919192,0.553068592,1.028037383,0.524,3,1,22,75,215,Success,12.69,6.356866,6.356866,6.333134
Jim Kelly,IND,5.92,1.589225589,0.38,0.179275726,5.891752577,0.48,3,14,22,75,226,Success,12,5.962693,5.962693,6.037307
Ben Roethlisberger,MAC,-2.585,1.894480519,1.646551724,0.881498471,0.920265781,0.603,3,11,21,75,241,Success,12.08,6.053656,6.053656,6.026344
Matt Hasselbeck,BigEast,-2.65,1.192592593,0.047169811,-0.171026157,-0.238095238,0.344,2,187,22,76,225,Success,6.53,0.71716,0.71716,5.81284
Andrew Luck,PAC,-0.245,1.822916667,1.349056604,1.287069988,-0.043632075,0.312,3,1,22,76,234,Success,12,6.356866,6.356866,5.643134
Matt Schaub,ACC,2.815,1.991883117,0.094827586,0.19266055,0.3089701,0.512,3,90,22,77,243,Success,8.78,3.658297,3.658297,5.121703
Ryan Tannehill,Big12,1.998,0.138888889,-0.160377358,0.410438909,-0.338443396,0.698,2,8,23,76,221,Success,11.25,6.144619,6.144619,5.105381
Eli Manning,SEC,0.817,0.806818182,0.870689655,0.74235474,0.561461794,0.481,3,1,22,76,221,Success,11.17,6.356866,6.356866,4.813134
David Garrard,CUSA,-1.42,0.102836879,0.525862069,0.18040293,-0.064489112,0.388,4,108,23,73,236,Success,7.67,3.112519,3.112519,4.557481
Donovan McNabb,BigEast,3.62,1.318864775,1.017094017,0.745802239,1.138129496,0.778,4,2,22,74,240,Success,10.62,6.326545,6.326545,4.293455
Carson Palmer,PAC,9.49,1.445783133,1.029473684,0.989643268,0.876756066,0.741,4,1,23,77,235,Success,10.54,6.356866,6.356866,4.183134
Jay Cutler,SEC,3.104,0.173003802,-0.309090909,0.230626162,1.011741683,0.713,4,11,22,75,220,Success,10.2,6.053656,6.053656,4.146344
Jake Plummer,PAC,3.59,0.583636364,1,0.975377284,0.182106097,0.777,4,42,22,74,212,Success,9.2,5.113705,5.113705,4.086295
Matthew Stafford,SEC,5.268,0.320895522,1.79245283,0.678453947,-0.076197388,0.551,3,1,20,75,234,Success,10.29,6.356866,6.356866,3.933134
Michael Vick,BigEast,4,-0.19706499,0.610526316,0.393867925,-0.515780731,0.668,2,1,20,72,215,Success,10.27,6.356866,6.356866,3.913134
Tyrod Taylor,ACC,1.465,-0.127952756,1.346153846,1.013157895,1.855235418,0.547,4,180,21,72,217,Success,4.67,0.929407,0.929407,3.740593
Daunte Culpepper,IND,-9.33,3.171953255,1.615384615,0.608208955,1.658273381,0.579,3,11,21,76,260,Success,8.82,6.053656,6.053656,2.766344
Colin Kaepernick,WAC,0.066,0.895669291,1.057692308,0.538277512,0.58186929,0.504,4,36,23,76,233,Success,8,5.295631,5.295631,2.704369
Nick Foles,PAC,0.909,1.440972222,0.405660377,0.209964413,-0.067216981,0.594,3,88,22,77,243,Success,5.75,3.718939,3.718939,2.031061
Derek Anderson,PAC,5.79,-1.085714286,-0.117021277,0.627380952,-0.411080332,0.613,3,213,21,78,235,Success,2,-0.071186,0,2
Robert Griffin III,Big12,2.134,2.013888889,3.235849057,1.294187426,1.524764151,0.714,4,2,21,74,223,Success,8.25,6.326545,6.326545,1.923455
Brian Griese,Big10,4.47,1.488888889,0.141509434,0.361502347,1.738095238,0.19,2,91,22,75,214,Success,5.45,3.627976,3.627976,1.822024
Tim Rattay,IND,-1.89,1.857142857,0.449541284,0.930936613,0.544776119,0.475,3,212,22,72,200,Success,1.63,-0.040865,0,1.63
Alex Smith,PAC,0.86,1.807142857,2.329787234,1.561904762,2.301385042,0.704,2,1,20,76,217,Success,7.55,6.356866,6.356866,1.193134
Kyle Orton,Big10,2.481,0.592857143,0.840425532,1.247619048,2.221052632,0.715,4,106,22,76,228,Success,4.2,3.173161,3.173161,1.026839
Brooks Bollinger,Big10,4.77,-0.502008032,0.082105263,0.681242808,1.665389527,0.488,3,200,23,73,205,Success,1.2,0.322987,0.322987,0.877013
Matt Flynn,SEC,4.349,-0.610687023,-0.340909091,0.753424658,-0.266451613,0.339,1,209,22,74,230,Fail,0.89,0.050098,0.050098,0.839902
Kirk Cousins,Big10,1.398,0.503472222,0.594339623,0.59430605,0.044811321,0.831,3,102,23,75,214,Success,4,3.294445,3.294445,0.705555
Tony Graziani,PAC,3.55,-0.034545455,0.734513274,0.35822081,0.81314331,0.549,2,204,23,74,215,Fail,0.75,0.201703,0.201703,0.548297
Bruce Gradkowski,MAC,-3.195,0.781368821,0.327272727,0.884686919,-0.531637312,0.45,3,194,22,73,220,Fail,1,0.504913,0.504913,0.495087
Gary Kubiak,Big12,-0.14,0.395939086,-0.828282828,0.546931408,0.581516096,0.446,2,197,21,72,192,Fail,0.89,0.41395,0.41395,0.47605
Troy Smith,Big10,0.806,1.113712375,1.068627451,1.105347167,0.884065934,0.57,2,174,22,72,225,Success,1.5,1.111333,1.111333,0.388667
